,Energy
150,12.733449031432905
151,12.71201067055605
152,12.467362800588637
153,12.641972263105941
154,12.456087216460821
155,12.346483318919864
156,12.406507217889398
157,12.34916835404779
158,12.201789526474593
159,12.342919695439798
160,12.02495396133849
161,11.997046832297471
162,11.901542886519357
163,11.786328956091927
164,11.578653086419173
165,11.597452293727928
166,11.56431217144215
167,11.578236623617748
168,11.540968705291203
169,11.93298028944799
170,11.926035771966326
171,11.996741459818962
172,12.047209975785831
173,12.045258242289917
174,11.879794961300679
175,11.997464620029943
176,11.9681777398971
177,11.957463802010212
178,11.925416000753494
179,11.7720145296073
180,11.765915948999055
181,11.974436499925137
182,11.881271718201955
183,11.830855853376953
184,11.716260975590801
185,11.83033712054478
186,12.358137126978297
187,13.184746403742718
188,13.427070232211475
189,13.379309460287397
190,13.721883494423189
191,13.806263219134872
192,13.873229515276414
193,13.741334484253262
194,13.893709524130816
195,13.764547977892219
196,13.724418210396372
197,14.103764892694526
198,14.723435674341957
199,14.886685892426419
200,14.676185407863716
201,14.944574430369933
202,14.876847511073326
203,14.695256964335643
204,14.630252472157526
205,14.667890427356904
206,14.976426865961715
207,15.116546678126461
208,14.929167301239726
209,14.838437347950942
210,15.103998610122886
211,15.187138133316925
212,15.067487752914039
213,14.810651064210786
214,14.60919184617634
215,14.519419344936775
216,14.308459835989424
217,14.462249320838309
218,14.73632965142673
219,14.486007319471065
220,14.206482537607565
221,13.896123122596272
222,13.80997856975769
223,14.09613163389934
224,13.903288684733214
225,13.74135520091861
226,14.113400527774697
227,14.048786044874461
228,14.106015208136597
229,13.875277644842946
230,13.851420536817285
231,14.024464778764907
232,13.841770895635948
233,13.716574616646724
234,13.81994118289635
235,13.842160507225373
236,13.786493646264534
237,13.633572134590457
238,13.813781033713784
239,13.8508428404621
240,13.689913586615255
241,14.031953278335049
242,13.93183017429545
243,13.893883635300444
244,13.656775406549222
245,13.665507799350632
246,13.478045810907478
247,13.478910659808312
248,13.810248419172048
249,13.627935108742108
250,13.530759595673604
251,13.294267607750719
252,13.79248373369923
253,13.70611678371201
254,13.590317741537074
255,13.367099558474864
256,13.202314994746411
257,12.950954661326655
258,12.845910905226688
259,12.854531262745535
260,12.989129342861009
261,13.243639893768455
262,13.196855757197266
263,13.306446989929913
264,13.433841821323421
265,13.458392311111904
266,13.783861620040899
267,13.55201172023721
268,13.862917372567477
269,13.69138457462601
270,13.718532583109175
271,13.609989901677071
272,13.559946235474877
273,13.425440000317526
274,13.17070155905867
275,13.004168282797913
276,13.252586118942737
277,13.08985400192388
278,13.03932453350594
279,12.920534411726038
280,12.814923750760318
281,12.656557804419723
282,12.745307779865948
283,12.774513312383446
284,12.85267664798918
285,12.685358904516487
286,12.835822687666344
287,13.143867074289727
288,13.307907549941042
289,13.18721343267181
290,12.859824258602165
291,12.60581910766207
292,12.481529958425613
293,12.31339210731949
294,12.272717707690804
295,12.379339703171734
296,12.869116796190017
297,12.899518062005498
298,12.584861521007902
299,12.38485450179716
300,12.1398677501937
301,12.000946700699783
302,11.822749830154567
303,11.724093749320847
304,11.615124893562282
305,11.554929132299579
306,11.333913652808256
307,11.262739968756872
308,11.264571192484757
309,11.177416257123577
310,11.117969298092268
311,11.13758258350101
312,10.981929840328256
313,10.942091130543613
314,10.811129376524313
315,10.640276928165626
316,10.753728767917053
317,10.72477480375391
318,10.675488283334941
319,10.577891791024763
320,10.771935865236125
321,10.726413401432188
322,10.623485186623961
323,10.658474083296094
324,10.619056939985176
325,10.659445546756162
326,10.589168250764551
327,10.506499532979857
328,10.418309159224982
329,10.383381120428965
330,10.283563921441475
331,10.241659861663859
332,10.175887302663357
333,10.129053393404353
334,10.066857480918776
335,10.097037801595588
336,10.05871724538897
337,10.072089482925207
338,9.967287361459432
339,9.93746937426413
340,9.953208591236457
341,9.944574268620304
342,9.888040331076109
343,9.933693653476803
344,9.9853272344118
345,10.025617289090393
346,9.974366278165927
347,10.0366824099558
348,10.059779437669063
349,10.134525838146711
350,10.04198625848752
351,10.028589639877667
352,10.011168026681
353,10.012181265035313
354,10.032544656880855
355,10.040060662510239
356,9.970621530969577
357,9.984561825880442
358,9.975710245060245
359,9.998444894849369
360,9.926020861042426
361,10.017597347999448
362,9.967671495424517
363,9.935016745909163
364,9.902688703124841
365,9.976104426354434
366,9.943176021135216
367,9.962652381292951
368,10.019096407882897
369,10.030982787998713
370,9.955059463760096
371,9.867590624872857
372,9.878621838879072
373,9.993455576953293
374,9.991129808321798
375,10.040474343273248
376,9.985820386214971
377,9.927869692713477
378,9.94064319449816
379,10.113289096066577
380,10.059755545126073
381,9.988821524071989
382,9.966747053367726
383,9.95611480893326
384,9.88686902774914
385,9.988466899103125
386,10.028534459008002
387,10.03442544744825
388,9.98133790463493
389,10.03456098089153
390,10.012560652437099
391,10.020417991093728
392,10.017745815360346
393,10.425432738278706
394,10.754323435038506
395,10.964715568039624
396,11.244938830521912
397,11.277295793224429
398,11.438033360831495
399,11.56202244315319
400,11.567620738936716
401,11.579736163046324
402,11.637445132103942
403,11.683194607618065
404,11.628208561675244
405,11.888785644471428
406,11.987173126521533
407,12.178181462291796
408,12.05851459919015
409,11.998937108207484
410,11.958981829411874
411,11.963856787412498
412,11.980523108472791
413,11.875729231074489
414,11.852669824525337
415,11.85904731579167
416,11.73597948229886
417,11.745085116475863
418,11.703023698464463
419,11.693641142120105
420,11.620958719093945
421,11.648421403861759
422,11.612894929034987
423,11.578208720874914
424,11.531402382615287
425,11.478642708624243
426,11.529224871942107
427,11.543438511517444
428,11.448355573351154
429,11.332518345209166
430,11.270971054531257
431,10.663941071476293
432,10.766865530727113
433,10.84071950696386
